X,Y,NAME,City_ID,City_X,City_Y,City_Dist
30.408443969690687,31.479437946579356,Rashid,3576,30.39002071000,31.46039105120,2743.23803131000
30.396700397155257,31.488698573516775,Rashid,3576,30.39002071000,31.46039105120,3202.21446057000
30.385208646266676,31.498339095365452,Rashid,3576,30.39002071000,31.46039105120,4232.36652557000
25.183077446999953,31.531427735583712,Salum,3570,25.15003047560,31.56697369290,5037.87757868000
25.171197017013736,31.539678432610415,Salum,3570,25.15003047560,31.56697369290,3632.97944178000
25.162805486101568,31.552111541994247,Salum,3570,25.15003047560,31.56697369290,2046.13644805000
25.167315737341216,31.561234118361021,Salum,3570,25.15003047560,31.56697369290,1760.09837228000
25.178203476825814,31.570055166816338,Salum,3570,25.15003047560,31.56697369290,2696.28270020000
25.174677971071482,31.57905686113677,Salum,3570,25.15003047560,31.56697369290,2696.18503489000
25.170490711906545,31.593460571099332,Salum,3570,25.15003047560,31.56697369290,3520.92067342000
25.163529096079372,31.606651414966478,Salum,3570,25.15003047560,31.56697369290,4582.21240766000
29.018254746512639,30.831498940510155,El Alamein,3568,28.94995357130,30.81707114560,6727.89684024000
29.003552434733919,30.834472495345935,El Alamein,3568,28.94995357130,30.81707114560,5479.08568715000
28.989545001215337,30.839827377063727,El Alamein,3568,28.94995357130,30.81707114560,4551.18105530000
28.976882676363704,30.84734298663335,El Alamein,3568,28.94995357130,30.81707114560,4230.97575402000
28.964869926330483,30.855558075036793,El Alamein,3568,28.94995357130,30.81707114560,4499.21318122000
28.95071775425696,30.860020792020322,El Alamein,3568,28.94995357130,30.81707114560,4762.24644005000
28.937738798475834,30.867408182802023,El Alamein,3568,28.94995357130,30.81707114560,5701.71909670000
27.274506658231985,31.367437246943581,Matruh,3567,27.23000687530,31.35042360330,4635.14357434000
27.259528552885243,31.367414323068171,Matruh,3567,27.23000687530,31.35042360330,3382.07740707000
27.244534991408486,31.367853770724583,Matruh,3567,27.23000687530,31.35042360330,2376.03454645000
27.250588734907669,31.361280795832812,Matruh,3567,27.23000687530,31.35042360330,2298.72546759000
27.235763168570404,31.358999878741084,Matruh,3567,27.23000687530,31.35042360330,1097.35626040000
27.222258534768329,31.364853815664002,Matruh,3567,27.23000687530,31.35042360330,1761.63754734000
27.215066373481918,31.372994811062924,Matruh,3567,27.23000687530,31.35042360330,2878.11894232000
27.200163878398321,31.374354353726652,Matruh,3567,27.23000687530,31.35042360330,3886.10631160000
27.185184739841191,31.375145181196046,Matruh,3567,27.23000687530,31.35042360330,5069.36161578000
31.865700614622313,31.438780415888225,Dumyat,3566,31.82001094440,31.42039349270,4798.48720967000
31.874546451376428,31.427298593170214,Dumyat,3566,31.82001094440,31.42039349270,5241.41283084000
31.838943390989179,31.452189496028335,Dumyat,3566,31.82001094440,31.42039349270,3958.30842060000
31.825914660728493,31.373619738851303,Dumyat,3566,31.82001094440,31.42039349270,5216.40755984000
31.834987032129753,31.383883875438826,Dumyat,3566,31.82001094440,31.42039349270,4291.29548368000
31.838718996984291,31.394415450779594,Dumyat,3566,31.82001094440,31.42039349270,3385.48169009000
31.832180884885851,31.407383634858952,Dumyat,3566,31.82001094440,31.42039349270,1849.31272509000
31.842637646147551,31.410873796027623,Dumyat,3566,31.82001094440,31.42039349270,2396.48305468000
31.85610472559264,31.406539145925255,Dumyat,3566,31.82001094440,31.42039349270,3760.22705759000
31.870362509646402,31.404687586981723,Dumyat,3566,31.82001094440,31.42039349270,5094.81308987000
31.878778913045213,31.41264451178105,Dumyat,3566,31.82001094440,31.42039349270,5653.71324452000
31.863864278154622,31.414242531205318,Dumyat,3566,31.82001094440,31.42039349270,4225.23454127000
31.856757655256853,31.422089687107864,Dumyat,3566,31.82001094440,31.42039349270,3499.00378043000
31.851745629640796,31.431956060007803,Dumyat,3566,31.82001094440,31.42039349270,3278.30520172000
31.856953566763885,31.441107442240188,Dumyat,3566,31.82001094440,31.42039349270,4196.48736657000
31.843750252382517,31.443063182496022,Dumyat,3566,31.82001094440,31.42039349270,3378.10997411000
31.836064719098996,31.444267449937495,Dumyat,3566,31.82001094440,31.42039349270,3055.55282584000
31.824601738495705,31.4413359058141,Dumyat,3566,31.82001094440,31.42039349270,2362.69274301000
31.826287145383958,31.454123404238516,Dumyat,3566,31.82001094440,31.42039349270,3787.16696570000
32.299413175468914,30.558621909913882,Ismailia,3564,32.25998408890,30.59034079900,5164.37388819000
32.296235325751951,30.552844558187783,Ismailia,3564,32.25998408890,30.59034079900,5419.69835060000
32.293806335631402,30.5578245281521,Ismailia,3564,32.25998408890,30.59034079900,4849.85816364000
32.285484309738507,30.569596208985701,Ismailia,3564,32.25998408890,30.59034079900,3357.36603325000
32.27335178332865,30.575949556071848,Ismailia,3564,32.25998408890,30.59034079900,2046.81829823000
32.269771231897224,30.573400462884965,Ismailia,3564,32.25998408890,30.59034079900,2099.60382170000
32.260983798877731,30.581926303127318,Ismailia,3564,32.25998408890,30.59034079900,937.76609297800
32.267789665138324,30.580742327690842,Ismailia,3564,32.25998408890,30.59034079900,1301.09027623000
32.270895283069272,30.583741612005731,Ismailia,3564,32.25998408890,30.59034079900,1276.89627506000
32.279315769901068,30.585603950060449,Ismailia,3564,32.25998408890,30.59034079900,1927.07980164000
32.284576105241058,30.587462590957465,Ismailia,3564,32.25998408890,30.59034079900,2380.14282258000
32.297803136560951,30.584738014364397,Ismailia,3564,32.25998408890,30.59034079900,3680.12966109000
32.301682446096187,30.589223192623489,Ismailia,3564,32.25998408890,30.59034079900,4001.23492677000
32.31091126996364,30.597373825290418,Ismailia,3564,32.25998408890,30.59034079900,4946.09635086000
9.380065653113931,1.1251422112749,Calatrava,3551,9.41858760442,1.11640342092,4394.97017957000
9.386166987250647,1.111472172642444,Calatrava,3551,9.41858760442,1.11640342092,3649.33532009000
9.393786340034016,1.104463164780842,Calatrava,3551,9.41858760442,1.11640342092,3059.85183081000
9.406148669673579,1.099914256223881,Calatrava,3551,9.41858760442,1.11640342092,2289.33089108000
9.414912394349408,1.102280921032576,Calatrava,3551,9.41858760442,1.11640342092,1614.27556438000
9.425829319710701,1.111224945027334,Calatrava,3551,9.41858760442,1.11640342092,988.68837534900
9.439959432225772,1.111058718364141,Calatrava,3551,9.41858760442,1.11640342092,2450.97230955000
9.453124012529175,1.115453037874636,Calatrava,3551,9.41858760442,1.11640342092,3845.28732335000
9.465639309480537,1.122878996763291,Calatrava,3551,9.41858760442,1.11640342092,5285.50423391000
-15.457069913023647,11.612271758209731,Bolama,3354,-15.48280398910,11.58295302850,4288.98827443000
-15.460441269695306,11.598554427257737,Bolama,3354,-15.48280398910,11.58295302850,2987.81047960000
-15.453158542878917,11.595885099847727,Bolama,3354,-15.48280398910,11.58295302850,3535.60048698000
-15.45688613453461,11.585379306391228,Bolama,3354,-15.48280398910,11.58295302850,2839.48831526000
-15.450366848552754,11.578388278693389,Bolama,3354,-15.48280398910,11.58295302850,3573.70976669000
-15.445560594862954,11.569803184776145,Bolama,3354,-15.48280398910,11.58295302850,4314.71960101000
-15.441478082698069,11.557398952053191,Bolama,3354,-15.48280398910,11.58295302850,5320.54547226000
-13.813757603111499,26.570959480457532,Lemsid,3324,-13.84819219100,26.54818655740,4258.89877921000
-13.827846709644156,26.565811949290904,Lemsid,3324,-13.84819219100,26.54818655740,2814.82954209000
-13.841935816176814,26.560664418124276,Lemsid,3324,-13.84819219100,26.54818655740,1516.55870505000
-13.856024922709473,26.555516886957648,Lemsid,3324,-13.84819219100,26.54818655740,1126.41048320000
-13.869602339318316,26.549207281392661,Lemsid,3324,-13.84819219100,26.54818655740,2136.47463839000
-13.882912322208359,26.542290319959577,Lemsid,3324,-13.84819219100,26.54818655740,3521.03152165000
-13.896222305098405,26.535373358526499,Lemsid,3324,-13.84819219100,26.54818655740,4992.49313912000
18.317374123597837,30.664261491394299,As Sidr,3268,18.26662634140,30.67041343080,4910.96247918000
18.306322685522868,30.674403765127302,As Sidr,3268,18.26662634140,30.67041343080,3829.70471069000
18.2952712474479,30.684546038860304,As Sidr,3268,18.26662634140,30.67041343080,3160.56760847000
18.292524831223147,30.696585034361142,As Sidr,3268,18.26662634140,30.67041343080,3817.94716949000
18.28400852624863,30.706307754697661,As Sidr,3268,18.26662634140,30.67041343080,4313.84743635000
18.273802779479325,30.716026197976017,As Sidr,3268,18.26662634140,30.67041343080,5103.35249637000
18.260859632619685,30.723607421450481,As Sidr,3268,18.26662634140,30.67041343080,5923.13548229000
